id;date_event;status;active;eth_address;date_synch_blk;st_name;customer_name;balance;user_id;securitytoken_id
1;2020-04-12T20:08:19;INIT;false;Ball Bike;2020-04-12T07:22:03;Planner Product Wooden;SMTP;2379;4;1
2;2020-04-12T21:20:07;INIT;true;multi-byte back-end Home Loan Account;2020-04-12T11:44:06;Lead index;synthesize online Internal;23277;4;2
3;2020-04-12T13:54:45;PENDING;false;Berkshire distributed;2020-04-12T19:10:33;Loop digital Centralized;Roads;2502;4;3
4;2020-04-12T02:08:50;INIT;true;teal Tasty Tactics;2020-04-12T15:47:02;Grass-roots Clothing;Lead Self-enabling;63614;5;1
5;2020-04-12T03:36:40;PENDING;true;Missouri Table;2020-04-12T11:09:37;Incredible;supply-chains;60727;5;2
6;2020-04-12T16:41:15;SUCCESS;false;Pizza Honduras;2020-04-12T10:27:55;solution-oriented Refined Computers;Mills Granite Cambodia;92061;5;3
7;2020-04-12T06:49:25;PENDING;true;generate;2020-04-12T01:52:50;Security solid state;Cambridgeshire robust;86084;3;1
8;2020-04-12T01:26:54;NONE;false;engineer;2020-04-12T05:10:26;synergize;transmit Fresh Cambridgeshire;28285;3;2
9;2020-04-12T06:55:03;NONE;false;generate;2020-04-12T11:57:30;Home Loan Account Rubber Incredible;Jewelery backing up rich;76399;3;3
10;2020-04-12T07:15:40;PENDING;false;Future;2020-04-12T05:33:51;implementation Assistant Court;Savings Account;9836;1;1
