id;id_red;name;lauche_date;logo;logo_content_type;symbol;juridiction;issuer_name;issuer_county;tokenization_firm_name;tokenization_firm_country;kyc_provider_name;kyc_provider_country;sto_price;amount_raised;category;summary;description;restriction_county;restriction_nationality;prospectus;prospectus_content_type;status;registration_date;update_date;due_diligence_date;last_sellingprice;last_buying_price;smartcontract_address;kyc_address;website
1;Colombia Functi;Upgradable;2020-04-12T00:19:22;../fake-data/blob/hipster.png;image/png;transitional;ITALY;indexing cross-media;CHINA;incentivize invoice Uzbekistan Sum;USA;world-class EXE azure;CANADA;100;18554;DERIVATIVE;Web Maryland holistic;deposit GB SCSI;Money Market Account Turkish Lira;circuit;../fake-data/blob/hipster.png;image/png;ACTIVE;2020-04-12T04:10:43;2020-04-12T15:21:50;2020-04-12T12:16:24;100;100;Liaison;Cheese payment disintermediate;feed card streamline
2;neural-net Admi;input disintermediate HDD;2020-04-12T09:02:42;../fake-data/blob/hipster.png;image/png;Sleek programming;SENEGAL;payment violet;NORTH_KOREA;bus Coordinator;NORTH_KOREA;Unbranded;IRAN;100;83856;DERIVATIVE;Home Pre-emptive;Generic Steel Pizza Practical Concrete Hat Gorgeous;driver;gold;../fake-data/blob/hipster.png;image/png;ACTIVE;2020-04-12T00:42:14;2020-04-12T05:12:20;2020-04-12T14:52:25;100;100;navigate;Reduced;TCP
3;Computers progr;system Cambridgeshire protocol;2020-04-12T01:51:19;../fake-data/blob/hipster.png;image/png;synthesizing Concrete Tactics;NORTH_KOREA;Wooden;USA;Turnpike;IRAN;Computers;GERMANY;100;38833;EQUITY;Christmas Island;Planner;Tennessee;Unbranded magnetic;../fake-data/blob/hipster.png;image/png;DISABLED;2020-04-12T16:25:55;2020-04-12T17:36:19;2020-04-12T04:32:43;100;100;alarm Identity Money Market Account;Rupiah;Configuration Cheese
4;HDD;SAS end-to-end;2020-04-12T11:58:30;../fake-data/blob/hipster.png;image/png;Parkways;USA;Open-source;NORTH_KOREA;innovative multi-byte mindshare;ITALY;Strategist;NORTH_KOREA;100;56654;DERIVATIVE;orange hack;mobile sensor;Creative;Public-key;../fake-data/blob/hipster.png;image/png;REMOVE;2020-04-12T07:52:55;2020-04-12T15:08:09;2020-04-12T16:13:04;43186;75390;Buckinghamshire;Practical application cohesive;Berkshire Yen deposit
5;Rufiyaa SSL;Principal Djibouti web-enabled;2020-04-12T00:46:03;../fake-data/blob/hipster.png;image/png;Handcrafted partnerships bypassing;ITALY;hacking;GERMANY;Granite standardization Soft;SWITZERLAND;synthesize;IRAN;100;74848;FUNDS;transform microchip olive;Checking Account;Shoes e-services copying;engineer;../fake-data/blob/hipster.png;image/png;DRAFT;2020-04-12T10:23:17;2020-04-12T17:51:36;2020-04-12T10:56:28;100;100;orange zero tolerance generating;index Lempira;Movies B2B
6;monitoring comp;hard drive Developer;2020-04-12T02:20:17;../fake-data/blob/hipster.png;image/png;multimedia withdrawal;CHINA;virtual Steel Rupiah;SENEGAL;seize;SENEGAL;parsing Operations;SWITZERLAND;100;67431;REAL_ESTATE;syndicate program Metrics;Consultant;Phased;Hat Ball navigate;../fake-data/blob/hipster.png;image/png;ACTIVE;2020-04-12T06:17:51;2020-04-12T05:44:06;2020-04-11T22:59:40;100;100;Books Salad optimizing;Concrete;Product Ergonomic Wooden Fish cohesive
7;violet Lead;Hryvnia projection;2020-04-12T06:12:44;../fake-data/blob/hipster.png;image/png;cross-platform systematic;GERMANY;Oregon virtual;SENEGAL;generating Berkshire override;FRANCE;invoice Cambridgeshire next-generation;CANADA;100;48545;FUNDS;Spring invoice moratorium;synthesizing Sausages calculating;virtual driver;Steel compress Granite;../fake-data/blob/hipster.png;image/png;ACTIVE;2020-04-12T18:36:44;2020-04-12T02:50:52;2020-04-12T04:29:04;100;100;Tasty Reduced;bypassing;bandwidth Awesome Rubber Bacon
8;Hong Kong Dolla;Car models Product;2020-04-12T10:53:20;../fake-data/blob/hipster.png;image/png;Money Market Account Customer;SENEGAL;Optimization Stream metrics;USA;monitor;NORTH_KOREA;initiative RAM metrics;ITALY;100;95204;REAL_ESTATE;CFA Franc BCEAO backing up Viaduct;even-keeled Direct backing up;Tools Branding;payment;../fake-data/blob/hipster.png;image/png;DISABLED;2020-04-12T12:47:32;2020-04-12T05:14:12;2020-04-12T16:35:11;100;100;Checking Account Object-based back-end;synthesizing TCP program;payment array
9;Harbors engage ;Auto Loan Account plum Berkshire;2020-04-12T09:40:33;../fake-data/blob/hipster.png;image/png;deposit Tasty;FRANCE;Connecticut;SENEGAL;Harbor Maine;NORTH_KOREA;out-of-the-box Concrete;USA;100;60378;EQUITY;Triple-buffered Configurable cyan;programming France engineer;Rhode Island;middleware;../fake-data/blob/hipster.png;image/png;REMOVE;2020-04-12T21:21:35;2020-04-12T07:13:51;2020-04-12T15:46:08;100;100;Regional;functionalities killer;Chief Principal protocol
10;Nebraska paymen;primary microchip;2020-04-12T04:22:18;../fake-data/blob/hipster.png;image/png;Intranet Soft matrix;USA;transmitting Trail;NORTH_KOREA;invoice;SENEGAL;USB;SWITZERLAND;100;40374;EQUITY;backing up olive;benchmark;workforce Table;explicit;../fake-data/blob/hipster.png;image/png;ACTIVE;2020-04-12T18:39:38;2020-04-12T16:22:49;2020-04-12T21:53:06;100;100;1080p;eco-centric olive;channels JBOD Automotive
