id;bank_name;logo;logo_content_type;country;bic_number;omnibus_account;fixed_fee;percent_fee
1;Maryland Cameroon facilitate;../fake-data/blob/hipster.png;image/png;CANADA;BerkshireX;CoordinatorXXX;99210;46
2;lavender 1080p Response;../fake-data/blob/hipster.png;image/png;IRAN;Baht Credit ;Intelligent Virginia enable;29342;53
3;parsing compressing;../fake-data/blob/hipster.png;image/png;FRANCE;Generic Fres;firmware RAM AGP;77935;32
4;Wall Cambridgeshire Landing;../fake-data/blob/hipster.png;image/png;SENEGAL;3rd generati;red payment expedite;32867;7
5;world-class functionalities paradigm;../fake-data/blob/hipster.png;image/png;SENEGAL;clear-thinki;Investment Account enterprise Indus;14193;27
6;Trinidad and Tobago Specialist synthesize;../fake-data/blob/hipster.png;image/png;IRAN;Salad Bedfor;programXXXXXXX;14325;19
7;archive back-end;../fake-data/blob/hipster.png;image/png;FRANCE;matrixXXXX;Agent core extensible;14021;98
8;Shoes contingency Incredible;../fake-data/blob/hipster.png;image/png;USA;Home 1080p;Representative Tasty Metal Gloves;23486;18
9;Computer Gloves access;../fake-data/blob/hipster.png;image/png;CHINA;action-items;Liaison CarXXX;24478;90
10;Integration;../fake-data/blob/hipster.png;image/png;CANADA;Generic Rubb;Moldovan Leu THX red;72389;42
