id;date_event;token_balance;bigest_token_name;bigest_token_value;second_token_name;second_token_value;bank_balance;equity_allocation;funds_allocation;real_estate_allocation;derivative_allocation
1;2020-04-12T03:18:06;60631;sky blue;53920;Berkshire tan;36189;37689;3586;8135;4918;66546
2;2020-04-12T11:56:53;48987;transition Pants;33861;6th generation Cameroon;91402;38143;78654;36953;26829;73777
3;2020-04-12T06:07:34;58696;synthesizing Credit Card Account;59179;deposit e-enable;80598;48082;6277;59470;84575;79714
4;2020-04-12T13:20:02;32103;Chicken analyzing;7938;Internal portal;29629;16000;52642;65793;2527;14084
5;2020-04-12T09:59:54;51922;indexing;63980;Berkshire;84067;54056;86795;28508;78668;19410
6;2020-04-12T01:19:50;72954;Sleek Valleys orchestrate;4700;invoice payment;1591;21495;8455;15925;65512;6207
7;2020-04-12T13:31:05;68699;Fantastic Soft Hat ADP;92892;e-enable;11052;66496;28336;69933;71127;4904
8;2020-04-12T12:35:09;52501;markets hack;85890;Investment Account multi-byte sky blue;86044;73615;91333;15525;47634;72933
9;2020-04-12T02:28:57;14084;salmon France Fresh;47461;Awesome Granite Soap Fords payment;9725;20051;77748;73719;85572;48112
10;2020-04-12T17:17:03;62328;ability Fantastic Plastic Hat;17138;Wall well-modulated withdrawal;25275;37090;34520;90035;66370;83521
