id;date_event;custody_balance;total_user;volume_order;total_revenu;equity_allocation;funds_allocation;real_estate_allocation;derivative_allocation
1;2020-04-12T06:23:31;84804;40857;84640;84283;21146;5676;23078;77912
2;2020-04-12T15:04:27;46528;54445;7248;10437;94831;78101;65888;57046
3;2020-04-12T05:36:25;29655;93994;56335;13039;72601;66094;93587;65383
4;2020-04-12T12:53:36;29868;16960;93211;68199;75943;340;29998;12810
5;2020-04-12T08:31:44;88831;6472;7662;23157;72056;57184;46986;96115
6;2020-04-12T20:51:14;52090;69816;44632;95390;61196;25760;57877;61000
7;2020-04-12T16:29:22;45624;77325;1590;45651;21081;13598;25698;86208
8;2020-04-12T00:21:41;97420;53136;63392;58729;58060;48214;25695;99193
9;2020-04-12T14:43:50;18159;48097;45909;70653;72001;27978;33656;67335
10;2020-04-12T15:10:19;47947;43615;38199;16620;26772;24228;62918;54770
